Event/Category,Type,Name,Description,Data Type,Example Value,Aligned User Story
Lead Funnel: Find My Pro,Custom Event,find_my_pro_initiated,Fires when a homeowner launches the 2-step 'Find My Pro' request flow.,Event Trigger,N/A,US-2
Lead Funnel: Find My Pro,Custom Event,find_my_pro_step_1_completed,Fires immediately after Step 1 of the lead flow is submitted (capturing key category/contact details). Allows partial lead follow-up.,Event Trigger,N/A,US-2
Lead Funnel: Find My Pro,Event Property,requested_category,The service category required by the homeowner.,String,Plumbing,US-2
Lead Funnel: Find My Pro,Event Property,partial_lead_recorded,Boolean flag indicating this was stored as a high-intent fallback lead in case of abandonment.,Boolean,true,US-2
Lead Funnel: Find My Pro,Custom Event,find_my_pro_submitted,"Fires upon successful completion of Step 2 (full matching lead recorded, pro partner displayed).",Event Trigger,N/A,US-2
Lead Funnel: Find My Pro,Event Property,matched_pro_id,The ID of the preferred contractor partner shown to the homeowner upon submission.,String,biz_atl_plumbing_921,US-2
Lead Funnel: Find My Pro,Custom Event,partner_call_button_clicked,Fires when a homeowner clicks the 'Call' button on a matched partner or profile screen.,Event Trigger,N/A,"US-2, US-3"
Lead Funnel: Find My Pro,Event Property,call_placement_source,"Identifies where the call trigger occurred (e.g., 'find_my_pro_completion', 'profile_view', 'swiper_match_popup').",String,find_my_pro_completion,"US-2, US-3"
Profile Engagement,Custom Event,profile_rendered_gracefully,"Fires to verify page loads cleanly even when metadata assets like rating, photos, or deal are absent.",Event Trigger,N/A,US-3
Profile Engagement,Event Property,has_photos,Tracks if photos are present on the profile.,Boolean,false,US-3
Profile Engagement,Event Property,has_editorial_story,Tracks if editorial profile text is present.,Boolean,true,US-3
Profile Engagement,Event Property,has_active_deal,Tracks if an active deal/coupon is visible.,Boolean,true,US-3
Profile Engagement,Custom Event,external_google_reviews_opened,Fires when a homeowner clicks to read Google reviews from the profile page.,Event Trigger,N/A,US-3
Contractor Qualification,Custom Event,contractor_portal_started,Fires when a business owner clicks 'I run a business' to enter the onboarding funnel.,Event Trigger,N/A,US-5
Contractor Qualification,Custom Event,contractor_qualification_submitted,Fires when a contractor submits their qualification form for certified registry access.,Event Trigger,N/A,US-5
Contractor Qualification,Event Property,applicant_trade,The trade category selected by the applicant.,String,Electrical,US-5
Contractor Qualification,Event Property,instant_qualification_response,Status output from the instant matching system mirroring website logic.,String (approved | flagged | review),approved,US-5
Registry Health & Operations,Custom Event,registry_sync_completed,"Fires on background sync execution, verifying dynamic updates render without app-store release.",Event Trigger,N/A,US-6
Registry Health & Operations,Event Property,sync_status,Whether the local cache updated successfully.,String (success | failed),success,US-6
Registry Health & Operations,Event Property,records_ingested,The total number of contractor records updated during the sync.,Integer,184,US-6
Registry Health & Operations,Event Property,ratings_refresh_independent,Boolean flag tracking if contractor ratings synced independently of the full registry schema.,Boolean,true,US-6
